Content;Consumer Sentiment Classifier;Automatic Classifier
Realmente el estudio es un sacrificio, si bien es ciero este curso ayudo muhco, a poder hacer un seguimiento al codigo, para saber en que parte se cae y en que no, se aprendio mucho sobre todas las herramientas que dijo que habria, ahora toca seguir reforzando con otros cursos mas, ahora ire por uno de javascript y luego uno de react, sacrifiquense, que aunque crean que es muy dificil si se puede;Positive;Course Recommendation
Curso increible, super recomendado, el profesor sabe explicar bien y es super inteligente, le doy 5 estrellas!  lo unico es que existieron momentos un poco complicados como siempre en la programacion donde el profesor explicaba un poco rapido porque evidentemente este es el curso mas completo de Udemy y para explicar tanto en tan poco tiempo el profesor lo hizo excelente.;Positive;Positive Feedback
As a noobie developer, i´ve learned so much with this challenge, and hope to use all of this learning in my career.;Positive;Learning Experience
El curso muestra toda la implementación necesaria de una página web, es decir paso a paso dice cómo debemos aplicar base datos, HTML, Javascript y CSS.;Positive;Course Content
Excelente curso, muy completo. Excelente la forma de explicar. Desde lo más fácil hasta irlo complicando mas. Lo recomiendo 100%;Positive;Course Recommendation
Primeramente agradecer al profesor Juan por su muy buena forma de explicar el curso y a todos los profesores por el grandioso proyecto, aprendí mucho ahora me toca ponerlo en práctica  haciendo nuevos proyectos y así poder tener un buen portafolio, muchas gracias a los porfesores por responder cuando les hacia una pregunta o si tenia una alguna duda.;Positive;Instructor Quality
Un gran curso! Lo importante a recalcar es que finalizando no te harás un experto del desarrollo web, pero te dará unas fantásticas bases.;Positive;Course Quality
El mejor curso sobre estos temas, sin dudas, el profe explica todo muy bien y siempre atento a responder las preguntas de la gente. Super recomendado.;Positive;Instructor Quality
El contenido es muy bueno, es muy practico, tiene una excelente metodologia de enseñanza, en verdad tiene ganado el titulo de Profesor. Te responden todas las dudas, se preocupan porque el contenido quede claro. He visto muchas personas dar clases on line, saben muchisimo de codigos, pero sus metodologia de desarrollo es totalmente obsoletos, con medidas de seguridad precarias, con supuestos absurdos, en cambio Juan de la Torre sabe muy bien lo que hace. Aunque confieso que mis desarrollos no han sido del todo igual a los de el porque busco nutrirme de sus conocimientos, hacerlo a mi manera y agregarle muchas mas cosas para poder avanzar mejor;Positive;Instructor Quality
Excelente curso, supero mis expectativas. Cuando inicie no sabía nada de nada, termine sabiendo de muchas cosas que seguro me servirán a futuro en mi desarrollo profesional, si eres nuevo y no sabes por donde comenzar este es tu curso, nunca se hace pesado, el instructor es muy bueno y casi cualquier duda es aclarada. Muchas gracias profe Juan, este curso vale mucho más de lo que uno paga por él.;Positive;Course Recommendation
