Content,,Consumer Sentiment Classifier,Automatic Classifier
The information presented in this course is slightly outdated. There are quite a number of changes not reflected in the course.,,Negative,Outdated Material
"Outdated, but the Google Ads terminologies and concepts are explained sufficiently as an introductory lesson for me",,Positive,Outdated Material
It was very good as I am new to this but was discouraged seeing the 'Copyright 2013' at the bottom of the demo slides from the presenter. Many of the options showed are not in the same position or not available at all in the latest software version. I know the base is the same but there will be many differences with the most up to date version of the software.,,Negative,Outdated Material
He’s doing a great job of not over loading information but getting enough to know what he’s saying while say as little as possible,,Positive,Engaging Content
The course explains every topic in an interactive and simple way that will give you the proper understanding of the power that Google Ads has in the growth of every business. It also provides you with relevant links to further reading that will help you in understanding every topic on the long run.,,Positive,Course Content
My only concern is that in a few spots he was going a little faster than I'd like and it was hard to keep up.,,Negative,Engaging Content
Thank gou for sharing. The course is so informative and as a beginner I gained a lot about google ads. All the lessons is easy to understand.,,Positive,Beginner-Friendly
Content and videos are kind of outdated. To have an general idea about the topic it's ok although a bit long for that.,,Negative,Outdated Material
"While the course touches upon the basic concepts, the links to further learning are all outdated and not actionable.",,Negative,Outdated Material
"I have taken several courses on adwords - some free, and some Udemy - and I prefer this instructor (cory) over all others.",,Positive,Instructor Presentation
"This course is a really fast way to learn more about Google Adwords, the only negative point is that it doesn't teach much about bidding.",,Negative,Course Content
I would have loved to give 5 but gave 4 for the only reason being the difference in the dashboard used and me not being able to relate to it 100%. Dashboard changed don't know exactly when after making of this course and the vides were never updated.,,Negative,Outdated Material
"This is all you need to know before launching your first Adwords campaign. Corey has been of great help, answering my questions in the next 24h. Highly recommended. Looking forward to a course about campaign optimisation.",,Positive,AdWords Campaigns
"I had previously taken another  introductory course on Adwords. In comparison, Cory simply hits it out of the ballpark! Course is systematic and thoroughly laid out  but not rushed.",,Positive,Engaging Content
Good course. Would recommend. Maybe a little more about creating an adword account from scratch would be nice,,Positive,Course Content
"Clear and targeted for an audience that needs to start from scratch. Explains no only how to do this, but WHY it's important, which for me is key.",,Positive,Beginner-Friendly
"Corey did an excellent job in taking me through the strategic and executional steps to ensure great campaigns.  He speaks clearly and concisely, which was a necessity for me.  Great course!!",,Positive,Instructor Presentation
I had absolutely no idea about AdWords and I have tried before to learn (just with AdWords help online) which didn't help me at all - this course was fantastic! The theory based lessons followed up with the walk through practical ones really helped me to understand AdWords -I'm looking forward to getting started with it! Thank you!,,Positive,Beginner-Friendly
i have got a lot of great information from this course which i will be applying to my site thank you,,Positive,Useful Resources
Its Great for Beginners but a bit dated content and GAds interface has evolved since the trainign was created. I think Trainers you tube content is far more relevant and detailed.,,Negative,Outdated Material
"It is really broad and interesting, not only do I learn about Adwords..but I feel the course also dives into marketing and advertising which could be used is so many ways.",,Positive,Engaging Content
This course is awesome for starting out with Google Adwords! Corey has a wealth of knowledge and is great at explaining everything in detail with the focus of telling you why you should do what he recommends. I'd definitely recommend this course to anyone looking to quickly get started and up to speed on Google Adwords! Thanks Corey!!,,Positive,Beginner-Friendly
Great course! Covers the basics comprehensively. Will save hours of frustration and set your campaigns on a winning course.,,Positive,Course Content
"I really got to know AdWords well! The course is very informative, clear, simple and understandable! I would recommend it to everyone!!",,Positive,Beginner-Friendly
I think the course is comprehensive and the instructor gives good examples that are practical. I would definitely recommend this course to anyone starting out in online marketing.,,Positive,Comprehensive Overview
This course really helped simplify the AdWords framework and campaign creation process for me. I think I got a lot out of it considering the super cheap price tag. The only critiques I have are that at times it's repetitive and moves very quickly. Constantly had to pause to take notes. Great resource for fellow AdWords beginners though!,,Positive,Useful Resources
Thank you Corey for a very detailed and extensively-researched course. This will prove to be useful in my usage of Google adwords.,,Positive,Useful Resources
"I do appreciate that the instructor is extremely knowledgeable and enthusiastic regarding Google AdWords.  However, I need things broken down a lot more than it was on here.  Plus, I need practice assignments to help reinforce what is being taught.  If I can get the practice, then I can learn more, because then it is more hands on.  Also, a job aid step-by-step with pics and a definitions list would help too.",,Negative,None
"I love the way it is structured and the walk through chapters. Additionally I find a great deal of added value in the useful links, tools and further reading which is posted at the end of each section - very insightful course overall, well structured and presented",,Positive,Useful Resources
"This course is a perfect introduction into Adwords, explains useful techniques step by step. The instructor used easy to understand language. Great value for money. Excellent course.",,Positive,Beginner-Friendly
Cory really knows his adwords and is excellent at passing it on to his students.   Very thorough course and one that every marketer and anyone trying to advertise and sell on the internet should take,,Positive,Instructor Presentation
As a marketing student this course is insightful as we don't learn about AdWords as much during the course and I was curious and wanted to build more on the knowledge that I had which is exactly what this course is doing.,,Positive,Useful Resources
"Clearly explained, step by step instructions. Good speaking voice that keeps a manageable pace. Feeling much more confident with the tool now - Thanks!",,Positive,Instructor Presentation
The course was quite in-depth. It started at my level (beginner) and lead me through to feel much more confident and knowledgable.,,Positive,Beginner-Friendly
"this course is from 2014, it should be here, as google makes lot of changes in adwords in 2020. but i get to know some tricks & important fact, that was truly helpful",,Positive,Outdated Material
"This course is an okay refresher on concepts a beginner has already learned, but not really for complete noobs.",,Negative,Beginner-Friendly
"Thanks to Corey, very well explained with best walk through examples. I'm happy to take this course and i have a now a fair idea how Good AdWords and Google Analytics is important for any business. Thank you Udemy,",,Positive,Engaging Content
This course is as advertised and I've found it to be very informative for beginners. Thanks for breaking all the topics into bite-sized lessons that are easy to understand and your links are very thoughtful.,,Positive,Beginner-Friendly
"Corey is clearly knowledgeable in his field, although a bit rough around the edges as an instructor. Regardless, this course gave me a good understanding of the AdWords platform and I feel confident about embarking on my first campaigns. Worth it for folks who need a crash course.",,Positive,Beginner-Friendly
"This course gave me a good foundation on how to use Google AdWords. It was very helpful to see the tool being used and having the instructor explain the process, why you do it that way and where to find more information.",,Positive,Instructor Presentation
Excellent introductory course for Google Adwords. The course content and the professor were very clear and easy to follow. I highly recommend it!,,Positive,Beginner-Friendly
Right pacing.  very easy to follow and understand. I want more examples though but I understand that it will increase the length of the video.,,Positive,Engaging Content
"While I'm very technical I did not have a chance to experience AdWords so far, and this course was a perfect introduction, with clear concepts and concise walk-throughs. Highly recommended!",,Positive,Beginner-Friendly
"I'm a marketer who is just getting into Google Ads. We've always had a company that took care of it for us but it's important for me to fully understand the ins and outs. As an entry-level associate, I really gained a lot out of this course that I can use to improve our current campaigns. I've also noticed some issues with what we are running as I was going through our Google Ads during the lesson.",,Positive,Course Content
"Good for starters, but I wanted more updated content.  Adwords has changed a ton since this training was made available.",,Negative,Outdated Material
The provides the best BASIC knowledge to PPC and a little bit about the display network. I have liked it if there were some advanced material as the course went on.,,Positive,Google AdWords Basics
I thought this was great overview of the whole adwords system. The combination of lessons and walking through what was learned on an actual adwords campaign page was very helpful.,,Positive,Comprehensive Overview
"Great course! It's perfect for beginners, as the title suggests, and gives you the tools you need to get started. It also includes some great resources for further reading.",,Positive,Beginner-Friendly
I'm just getting into Adwords and found this course very useful in getting my first campaign up and running. Corey is insightful and concise. Some material probably goes further than a normal 'beginners' course which is a huge plus. Thank you!,,Positive,Useful Resources
"Really insightful and well explained, great for people who are just getting into AdWords and a great reminder of techniques and knowledge for those who have done it before.",,Positive,Beginner-Friendly
I like the format of the concepts followed by the walk-through. Good course. I would recommend for anyone wanting to learn about Adwords.,,Positive,Engaging Content
Excellent course - will revisit this to refresh regularly I'm sure. The practical walk throughs really help reinforce the information. Thanks Corey!,,Positive,Engaging Content
Good basic overview of the topic. There's a lot here so you might have to review sections a few times and try out the steps/techniques covered on your own before the info really sinks in.,,Positive,Comprehensive Overview
Excellent course for beginners! It was super easy to follow and learn. I feel much more educated than I had before and I am very glad I took this course before going in blindly. Definitely recommend!,,Positive,Beginner-Friendly
"Great course! I love that Corey even makes a walkthrough to the interface. I think with things like this, knowing how to navigate the platform is important.",,Positive,Walk-Throughs
"Wrong definition view-through conversions, sometimes feels like first version of presentation with videos being cut only like 5 seconds after finishing talking, stutters, that sort of stuff. Overall a fine introduction though.",,Negative,Instructor Presentation
"For a beginner, too much material is thrown to the student. Overall, the instructor is knowledgeable. I will take time & go over the accompanying book.",,Negative,None
"As I am new to Adwords  I can't say how technically good this course is, but I did find it easy to follow and understand, aside from some needed updates. I am happy with this courses' topic coverage and I feel confident this will help me set up a successful Adwords strategy for my coy .  Thanks.",,Positive,Beginner-Friendly
"This is a great course for anyone with little to know prior knowledge of AdWords. It goes over every step of the process in detail and includes a number of walkthroughs for you to follow along in your own account. Like many things in life, a successful AdWords campaign takes time to perfect, but this course gives you some good groundwork strategies to decrease that learning curve a bit. Highly recommended!",,Positive,Beginner-Friendly
"I previously had zero experience with AdWords and bought this course out of curiosity. Upon completion of this course, I now understand how AdWords works and why it is such a powerful tool. While a lot of practical applications were not directly relevant me it was well organized in an easily digestible format for pure learning purposes.",,Positive,Beginner-Friendly
