Date,Comments
"March 13, 2025","This is honestly the best shampoo and body wash for babies ever!I have tried them all and this is the most consistent in quality, and PERFECT FOR SENSITIVE SKIN!It is awesome value for your money. The size of this bottle is huge I’d think it was from Costco.It’s very effective in cleaning the babies scalp and body without harsh chemicals. There is not really a scent to it which is perfect because scents can irritate the skin. There is also no color to it, just clear!There are obviously more cheaper ones out there but this is the best quality and it is the best price on Amazon! We have this on subscription and will never go to any other baby shampoo. If you are thinking of trying it… JUST DO IT!!!"
"March 12, 2025","I have been using the Aveeno Baby Daily Moisture Bath Wash & Shampoo for my child for the past two years, and it has been amazing! The formula is gentle, tear-free, and hypoallergenic, making it perfect for sensitive skin. It cleans effectively without drying out the skin, leaving it soft, smooth, and well-hydrated after every bath.The light scent is pleasant and not overpowering, and I love that it’s paraben-free and made with natural oat extract. It lathers well and rinses off easily, making bath time quick and hassle-free.Overall, this is a fantastic baby wash that I highly recommend to any parent looking for a safe and nourishing option for their little one!"
"March 10, 2025","Best body wash and shampoo for babies and kids with sensitive skin!! Recommend 100% , great quality and natural ingredients"
"March 6, 2025","We had been using the Aveeno Wash & Shampoo for as long as we can remember for our little one. I couldn't be happier with the results! This gentle cleanser not only effectively removes dirt and impurities, but it also leaves out little ones skin feeling incredibly soft and hydrated. The formula is infused with natural oat extract, which soothes my skin and helps maintain its moisture balance. I love that it’s suitable for daily use, and it has a pleasant, subtle scent that makes my shower feel like a spa experience. Overall, it’s a fantastic product that I highly recommend for anyone looking to nourish their little ones skin while cleansing."
"March 3, 2025","This has always been my go-to since having my child. The soap is thick, so a little goes a long way. It has a pleasant scent and is very gentle on my little one’s skin. The bottle is exactly as described. I have no complaints!"
"March 2, 2025","Smells so good, keeps skin mostarized . Baby likes it too! Pump works fine."
"February 24, 2025",Perfect for babies with sensitive skin like mine!
"February 15, 2025",Gentle formula for babies and adults . Soft baby powder scent and gets the job done
"February 15, 2025",Thank you for the Aveeno baby shampoo. The best .
"February 5, 2025",Have been using this for myself for years! Doesn’t dry your skin or hair !
"January 27, 2025",Best product for baby..
"January 19, 2025",Love the scent
"January 13, 2025",Gentle on baby skin.
"January 8, 2025","""Love this for my baby! It’s super gentle on their skin and leaves it soft and moisturized. The natural oat extract is soothing, and it doesn’t cause any irritation. Plus, it smells light and fresh. A must-have for bath time!"""
"January 6, 2025","Aveeno has once again proven its dedication to providing exceptional skincare solutions with the Baby Daily Moisture Gentle Bath Wash & Shampoo with Natural Oat Extract. As a parent who cares deeply about my child's well-being, I can't express enough how this product has become a beloved staple in our daily routine.The primary reason I adore this product is its unwavering commitment to gentle care. As a bath wash and shampoo in one, it streamlines the bathing process and ensures a tear-free experience for my baby. The natural oat extract is a game-changer for soothing and nourishing delicate skin and hair. It leaves my baby's skin feeling soft and smooth, while the hair is left clean and manageable.The hypoallergenic formula is a blessing for sensitive skin. It's free from harmful chemicals, fragrances, and dyes, making it a safe and trusted choice for babies with even the most delicate skin. We've had zero issues with skin irritation or allergies since we started using this product, and it gives me peace of mind knowing my baby's skin is well cared for.The convenience of having a two-in-one product that cleanses both the body and hair is unbeatable. It simplifies bath time, reducing clutter in the bathroom and making the process more enjoyable for both parents and babies. The gentle lather is easy to rinse, ensuring that bath time is a breeze from start to finish.Aveeno's dedication to natural ingredients is apparent in the Natural Oat Extract. Oats are renowned for their skin-soothing properties, and this product harnesses their benefits to provide hydration and nourishment. It's as close to a natural bath as you can get, and I love knowing that I'm using a product that's derived from the goodness of nature.The no-tear formula truly lives up to its name. It's been a game-changer during those splashy bath times, and it guarantees a worry-free experience for both parents and their little ones. No more cries or discomfort during bath time – just laughter and bonding.In conclusion, Aveeno Baby Daily Moisture Gentle Bath Wash & Shampoo with Natural Oat Extract is a must-have for parents looking to provide their babies with the very best in skincare. It's a product that stands out for its gentle care, natural ingredients, and overall convenience. The tears of bath time have been replaced with smiles and joy, making it a cherished part of our daily routine. I can't recommend this product enough; it's a true gem in the world of baby care."
"January 4, 2025",We love this soap
"December 30, 2024",Very good for kids
"December 24, 2024",My baby has a sensitive skin. Aveeno products suits him. These are good for dry and sensitive skin and biggest plus is without strong fragrance.
"December 19, 2024","Aveeno Baby Daily Moisture Gentle Bath Wash & Shampoo with Natural Oat Extract has been a trusted part of our bath routine for the past six years. I’ve used this product since my firstborn was an infant, and I continue to use it with no complaints.This gentle formula is perfect for both hair and skin, providing a soothing, moisturizing cleanse without any harshness. The natural oat extract works wonderfully to nourish and protect sensitive skin, making it an ideal choice for babies and young children. I love how it leaves their hair soft and their skin smooth, all without irritation.In summary, Aveeno Baby Daily Moisture Gentle Bath Wash & Shampoo is a wonderful product that has stood the test of time in our family. Look at the length and fullness of my daughter's hair. I highly recommend it for parents looking for a gentle, effective, and reliable option for their little ones' bath time."
"December 18, 2024","We have used a lot of kids shampoo but there is nothing better than Aveeno. It’s super smooth, tear free and cleans the hair and skin properly. Highly recommend to all the parents out there."
"December 16, 2024",my son has been using this for 10 years. no problem at all great for kids. even youth.
"December 4, 2024",My go to baby wash with all my babies
"November 17, 2024","It was found Johnson and Johnson put cancer causing ingredients in sunscreens, which they also sell treatment for, so we stopped all J&J products if they don’t care about that.  Aveeno may be okay but we swapped anyway to someone with a conscious"
"November 14, 2024",It’s excellent product for my baby. Have been using since last couple of years.! Only issue I see in packaging. Unable to bring opener up.! Most of time it works but have issue in some.! Thanks
"November 14, 2024","We've been using these for a long time for our young kid. Looking at my order history, looks like I've ordered many many of these bottles. This makes a good lather during showers and cleans and smells good afterwards. No complaints all."
"November 11, 2024","I used CeraVe Baby on my newborn and it was ok, but didn’t lather very well so I felt like I had to use a lot of it for it to do anything. I then used Aquaphor Baby which was way too harsh on her - it left her scalp very red, peeling, and angry. We finally switched to Aveeno and her scalp improved within the first wash. Aveeno lathers very well and has been gentle on her skin. I am sensitive to smells and I think this one smells good!"
"November 6, 2024","I have been using Aveeno Baby Daily for a few years now. I love the slight scent and my kids love it too. The price has gone up a bit, but it is still worth it. Big bottle lasts a long time. It is perfect for my kids sensitive skin. Sometimes, I use it too :)"
"October 30, 2024",Best on market
"October 29, 2024",I like this for sensitive skin but wish it lathered better. I feel like I use more than should be necessary to get the kids clean. .
