Date,Comments
"March 17, 2025","The LEGO Classic Large Creative Brick Box 10698 is a fantastic set that encourages hours of creative play! With such a wide variety of bricks in different shapes, sizes, and colors, the possibilities for building are truly endless. My kids love designing everything from cars to houses to abstract creations, and it’s amazing to see their imaginations come to life.The included storage box is a lifesaver—sturdy, spacious, and perfect for keeping everything organized. It’s great for both home and classroom use, offering an interactive and educational activity for kids of all ages.LEGO has once again proven why they’re the gold standard for building toys. This set is perfect for fostering creativity, problem-solving, and fine motor skills. Highly recommend it for boys, girls, and even adults who want to join in on the fun!"
"March 10, 2025","I recently got my hands on the LEGO Brick Box, and let me tell you, it's been an absolute joy! 🧱🌟This box is like a treasure chest of creativity. With a wide variety of bricks in different shapes, sizes, and colors, the possibilities are endless. My imagination goes wild as I build, create, and construct whatever comes to mind. It's like having a universe of endless building blocks right at my fingertips. 🏗️🌍The quality of the LEGO bricks is, as always, top-notch. They snap together with ease, providing a sturdy and reliable foundation for my creations. I've built towers, vehicles, and even miniature cities, and the bricks have never let me down. It's like they were made for endless adventures. 🔨💪The box itself is not just a container; it's a place to organize and store my LEGO bricks. It keeps everything neat and tidy, which is a huge plus for someone like me who values order. No more searching for that one elusive brick amidst the chaos! 🧼🧱In addition, the LEGO Brick Box is a great way to spark creativity in kids, encouraging them to explore and develop their problem-solving skills. It's a fantastic tool for both young builders and the young at heart. 🧒👴In conclusion, the LEGO Brick Box is a delightful addition to any LEGO enthusiast's collection. It's like a magic box of endless fun and boundless creativity. If you're looking for a fantastic gift or just want to relive the joy of building, this box is the way to go. Highly recommended! 🎁🌈🤩"
"March 8, 2025","Great starter set for anyone getting into Lego’s. Easy assembly, it’s Lego. Very good capacity with room to store a lot more legos."
"March 6, 2025",I bought these for our grandsons to make Lego tables for them. They were the perfect size. The boys have so much fun building with them. They like the sets that are in there with instructions to build many things! Great toy for young minds!
"February 24, 2025","Great buy, good variety"
"February 15, 2025",I got this for my 3 year old daughter and she loves all the different color legos and pieces. There is a great variety of pieces that gives creative options. I do recommend getting a large baseplate to have something to build on.The box is large and serves as a great storage container with room for more pieces.
"February 13, 2025",Standard box of Lego bricks.  Decent variety of shapes and sizes.  I'm not such a fan of all the different colors; I would prefer sticking to just a few colors and providing more bricks of those colors.  But that's my preference and I understand why Lego expanded the color choices.  Otherwise the set includes enough bricks to spark creativity for kids and should keep them occupied for an hour at a time.  It certainly did for my kids.
"February 11, 2025",My son build whoa Lego sets so quickly - this is a great set for letting him be creative and build his own designs!
"February 6, 2025","My son is ADHD and ODD. He struggles with focus and following directions / listening to anyone speaking with authority.Legos have been a major tool we have used to teach following directions in a non-abrasive way. They also allow him to not only follow directions and feel proud of what he accomplished but the opportunities are endless. He can build something specific or create something new.He cannot and will not sit still for ANYTHING else, but Legos keep him occupied long enough for me to actually get things done while also helping him learn and use his imagination.The cute container is also a plus. We have these on display all over his Lego themed playroom and he is even doing them with his little brother now. We keep adding new colors and sets to the collection. Some stay built on display, others get built over and over again. Great for all ages (after they stop putting everything in their mouth, the pieces are definitely a choking hazard)"
"February 4, 2025","Such a colorful set all the hues of the rainbow , including neutral colors. The amount of blocks that come with the set doesn't fill the container , yet there's plenty room to add more and it's great for storage either way . Came with all it's pieces and packaged neat."
"February 1, 2025",As a child I also wanted legos but my mom couldn’t afford them! I was very surprised when my daughter wanted legos so I didn’t hesitate to find them for her! I decided to buy her this as a starter and I must say it exceeded my expectations! Not only does it come with your standard Lego blocks but it comes with cool building and more as well! She plays with them everyday and they are easy to pick up and clean because the container dubs as storage when finished!
"January 27, 2025","It came with so many legos, and it was nice that it came with some instructions so you could build things! Great for my kids! Great quality!"
"January 27, 2025","Great value , great price , boys love them"
"January 27, 2025",My son has a blast playing with his legos makes me think of when I used to play with mine as a kid
"January 22, 2025",We won the birthday party with this! Great value; tons of blocks for the price and includes a storage container. It also includes an instruction booklet that kids choose whether or not to use.
"January 22, 2025",My son has had fun building all of the various builds found in the instructions.
"January 21, 2025",My 7 years son loves it
"January 16, 2025",Hours and hours of fun for our 4 year old. My husband might spend more time building with it lol
"January 15, 2025","Paired with their app (so you don't have to keep track of the book), my kids and I love playing with these. These large box options are perfect for your kids creativity to explore and build random things, like my sons robocroc lol. The box will only be a quarter full so you can combine other box sets like we did."
"January 15, 2025","One box provides literally years of entertainment, and this is a great mix of different pieces to compliment any LEGO sets."
"January 13, 2025",Keeps him busy fort a entire weekend of rain and snow
"January 9, 2025","Its a generic starter lego set not much more to it. The legos are seperated and organized by colors with plastic bags in the box so you dont have to worry about it being an instant mess. Its perfect to get your kids into lego building, and you can tap back into your imagination to show them how its done."
"January 7, 2025","The kiddos were a little disappointed that the box isn’t entirely filled with legos. It’s a fairly large box that’s only maybe 30 percent full.This does however leave room for whatever they build if they don’t want to disassemble it immediately when they’re done playing, or additional sets of legos that don’t have storage options."
"January 6, 2025",It was a Christmas gift for my great-grandson and he loved it. He is seven years old.
"January 6, 2025",Classic legos with a tub that has room to put more in! Very happy with this! Adults and kids alike have been playing with these! Love the clear pieces and variety of pieces it comes with. A good amount of pieces too!
"January 5, 2025","Has all the fun pieces, my kids love building with these!"
"January 5, 2025",My grandson loves building Legos and he opened his eyes and was so surprised it was beautiful thank you again
"December 30, 2024",My niece and nephew loved these for Christmas
"December 30, 2024",I would give it 5 stars but seems like it should've came with more leggos. But my daughter loves it and plays with them almost everyday making stuff out of them. So 4/5
"December 29, 2024",What else is there to say? It's a big old box of blocks from Lego. They do what they are supposed to and come in a large variety and a nice holding container.
"December 29, 2024",Large these appear to be just normal size Legos. There's nothing wrong with them as Legos but they are not large.
"December 27, 2024",Got it for my grandson for Christmas  he loves playing with them
"December 27, 2024",love Legos. with Legos the possibilities are endless
"December 26, 2024",It was a Christmas gift for my granddaughter.  She loved it
"December 26, 2024",It comes with a load of legos.  What I like most is when you buy more legos there is more than enough room to add them to this box.
"December 26, 2024","The best way aside from garage sales to get your hands on bulk Legos.  This set is a great value, and has the typical Lego quality (can confirm that the smallest pieces WILL send you to the emergency room where they can remove the piece under anesthesia).Not great for hungry infants."
"December 25, 2024","This was the perfect gift for my 7 year old grandson who lives building with blocks. There are a huge assortment and blocks are separated in individual bags by color. There are instructions to make certain things and plenty of blocks to use your imagination .Also to make it event better , nice  carry case included!Perfect gift if a boy or girl ."
"December 25, 2024",Great toy for boy or girl.this is going to be a Christmas gift for my great grandson who is 5 a and 1/2 years old.
"December 25, 2024",It is ideal to play with my grandson. We stay busy for hours making things
"December 25, 2024",I bought this as a gift for one of the children of Jefferson Barns. He was so excited to open it up!
"December 25, 2024",Son loves it! Comes with an idea book. Love how the container also acts as storage.
"December 25, 2024",As expected. Came with two idea books. Every color was individually wrapped. Great for gift.
"December 24, 2024",These were a perfect gift for grandson who just took interest in Lego’s!
"December 24, 2024",I bought these for my son and he loves them.
"December 24, 2024",5 yr old great grandson loves the ability he is building something. Instructions are easy to follow.
"December 24, 2024","I like this set, its a lot of fun. My daughter and I build everything in the fairly limited guidebook and have moved on to user-created designs on Rebrickable. The only thing that sucks is, the set is missing large bricks. They fit lots of teensy-weensy pieces in to pad out the piece count. It's a bummer.My daughter is still pretty young and unable to play with this set much on her own. On top of the bricks snapping together she has to worry about clips and joints and little onsie-twosie pieces that take a fair amount of motor skill because they demand heavy pressure be applied to a very small surface area.I'm thinking this would be ideal for a 9 year old, but younger kids are going to have difficulty. Just know you won't be using many of the bricks you're buying and that they sell lower brick count sets with more larger pieces.Have fun!"
"December 24, 2024",All my grandkids love Lego’s and with this box the possibilities are endless!
