Date,Url,Content
2025-03-18,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=b9901d20-a66f-4250-a5ac-e17d9e1c6b39,UI is not even optimised for phone. I am trying to change the date of tasks and the date option is located off screen. The app is up to date
2025-03-17,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=ada2da24-d544-4034-9e4e-4583ca8d52b0,"The mobile app was buggy; I couldn't remove the badge on the notification tray no matter what I did, and archiving a message caused the ""message archived"" notification to pop up... and then pop up, and pop up, and pop up, and pop up.... The notification just kept popping up until I closed the application."
2025-03-15,-,"At a very basic level, it gets the job done. The design isn’t conducive to higher levels of productivity, and most of your projects aren’t available in the sidebar which is one of the hallmarks of the app on desktop and browser. You’ll find yourself chasing down where they are every time."
2025-03-15,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=3b0385ce-1eaf-4bc5-86bc-c05529f77432,Working with Asana now for 6 weeks. Good functionality and intuitive. App needs some small improvement for me to give 5 stars. Needs to be a little more user friendly and easier to navigate.
2025-03-14,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=cbdb705a-352d-47ef-84b1-786f059ae4b9,Doesn't work
2025-03-14,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=f958d985-f4ca-44e9-b977-d018a80898e4,I am not a rockSTAR!
2025-03-12,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=6cd04e52-b598-4f99-8fc3-39b17aaee2be,Can you please check the widget and sync? It's a feature I really appreciate and I use with similar apps as Microsoft todolist I'd really like to use it with asana too for my projects! I'd really appreciate it
2025-03-11,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=daee5f5d-41d2-4b69-8ec8-b050ac54dd49,Best task and project management tool I've ever used
2025-03-10,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=b3ad12fe-97ac-4222-8a60-750df13fdbde,Great task management
2025-03-09,-,"Strong accountability tool for teams. Best of the group including Atlassian tools, Monday, and Smarsheets. I tried them all.  Strong development paths as well."
2025-03-09,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=677af18f-b408-4c4b-b08e-c2ee1f941aa6,I can't log in to my account. It keeps saying I have cookies blocked but it's not.
2025-03-08,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=e8bb2738-9aab-4662-bc0e-1129494f6469,"Was the app abandoned? Haven't used it in several years and when I come back multiple errors trying to log in, every time I close the app I have to log in again and go through an authentication process. When I try to start a new project once I finally get in I get more errors? I guess it's just a broken app now."
2025-03-06,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=1fa4683e-c571-4318-bdbf-68443b50c0cb,Can't use the app because when I try to add a project the screen goes blank. The desktop version works OK.
2025-03-05,-,"We can’t get any help to upgrade to an advanced plan, nor can we get any help on issues with functionality completely failing out of nowhere. 5 emails now and not a single response. Our organization is about to drop asana due to these issues which are well known by the apps users."
2025-03-05,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=0efe0b47-0fee-4146-af58-5d4b4e09ed79,"Reinstalled app after not using for several years. Was unable to clear any old projects via delete or archive. In attempting to create a new project, I could not add details as the screen displayed on my phone did not seem to match the attempted rendering size of the app (3 dot menu partially off screen and onscreen keyboard would not pop up). I'm not wasting anymore time on an app that is freshly installed and not working. Hope you can fix it for others though."
2025-03-03,-,Blank review
2025-03-03,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=cb18a719-5a57-4687-9685-891563b9ef82,I think it is good app
2025-03-03,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=0f64fed1-7ef9-4610-ba1b-ef8f357fe223,Okay
2025-02-27,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=c8f549d0-69f8-42ac-9ce5-6ed18b146fec,"Don't try to get support. I initially submitted a ticket 6 months ago and took 2 months for the first reply, my issue was never resolved and i learned they lied to me. Opened another ticket for a different issue, got a ""how was our support"" survey when I didnt even get a reply. Tried following up 2-3 times on each. They keep blaming it on a new ticketing system but they get some emails and not all? It's a joke. I've cancelled our premium teams subscription and moving to a competitor."
2025-02-27,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=976f0373-e33f-466d-8b18-76221f5ebca5,Everything is good i just want that when we create task and if we have to move that task into another task than we can't. Sometimes by mistake sub task created as main task so rather to make new task if we can move that task into main task then it will save lot of time
2025-02-26,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=d7c76d75-440d-48eb-a76a-73b713dd0102,"the ""create"" button no longer works when I'm in board view."
2025-02-24,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=97f9c19f-27c9-4b9c-8aed-bfc49c012df6,I just put my whole workspace onto it. It's working really well
2025-02-23,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=8123192d-0c77-40ed-bb15-f8e636364fd8,Create button not working on Android app. Search is not working on desktop (Mac). Nightmare. I've been using the app forever and love it... but now... GRRR
2025-02-22,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=2d75e7b2-e2be-43e5-bc34-3cde40193002,Used to work great for me but recently it has been very buggy. When trying to create a task create button doesn't like to work and sometimes acts as a cancel button.
2025-02-21,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=5532516b-b48b-43b8-9dad-74507bc833f1,"My asana android widget just randomly started showing only my completed tasks, which isn't very helpful, when it needs to be showing incomplete tasks, can you please fix this as it is confusing and slowing down my workflow. (Once fixed I would give it 5 stars)"
2025-02-21,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=a2c32e17-a544-4f3c-be37-2f745c3f9c88,Always getting stuck when is making changes on tasks
2025-02-20,-,"Company only sells user in packs of 5. You need 11 you pay for 15. Also, if you go over you limit of users they automatically upgrade you to the next 5 pack. You fix it so you’re under the limit for your current users, they won’t refund you based on their “policy”. Don’t subscribe, you’ll regret it. Whatever you do, don’t do an annual plan. There’s no refund. You want to leave you have to cancel right on the exact date or your screwed."
2025-02-19,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=b5e8bbea-900b-4b45-b8c7-0d5acfb790ca,Force closes after every few clicks..
2025-02-18,https://play.google.com/store/apps/details?id=com.asana.app&reviewId=da6562c0-bf20-489e-82d4-324520dd42a6,Good
