Date,Url,Reviews
2025-03-16,-,"I have been waiting for months but have still yet to receive my w2 form through Monday.com. This has been an ongoing issue that many other companies that have used the platform have faced and yet it still hasn’t been solved. Do yourself a favor and use something else, it will save you time, stress, and money."
2025-03-15,-,Save your money on this waste of time.
2025-03-07,-,"Attempt to send a reply and the keyboard goes over the text box, not allowing you to see the text box. Hit send and it confirms it’s been sent but doesn’t send the response. Deleted and reinstalled the app, tried on iPad and had the exact same issue."
2025-03-06,-,"I went back to the App Store to make sure.  Nowhere I can find does it say this app is a subscription service or what you use is a free trial.  The email informing me I have a week left to choose a plan is not supported on a mobile device.  You have to use a desktop or laptop to sign up and while I like the app, I find the entire experience to be a bit deceptive, so, no, not signing up.  Deleting instead."
2025-03-06,-,Like it
2025-03-05,-,Notification seem to be broken and they break occasionally. The software is generally not helpful and is basically a glorified Excel spreadsheet. Also a very stupid name that makes projects confusing when talking about things that are due on Monday etc.
2025-03-04,-,"Monday is an awesome tool. Very intuitive and worth the investment in time or money to organize your life and/or your team! 

It’s refreshing to work with a system that updates in live time across devices (laptop to mobile app) and across accounts (my teammate to me)! It had us excited to get work done and celebrate what we’ve accomplished, where we’ve been and plan for what’s ahead. 

I highly recommend Monday.com for your team and project management!"
2025-02-28,-,"how come you can't login under Google instead of creating a new password and the same goes for inviting team members they can't login using their Google account either. They have to create new passwords. This just makes a mess now I've created a team and for some reason I can't log into that team after all the work I put in because it has a separate password, which I don't know"
2025-02-26,-,"We love this app in our office, the desktop and mobile apps are very friendly to use!"
2025-02-17,-,I have been trying for three hours to cancel my subscription.  The AI generated content on the Help function will not accept the contact form and times out for delivery.  This app is not operational on an HP and does not get the full menu on IPad.  I would not download this app unless you know you will be using it and are required to do so.  Only under duress…
2025-02-01,-,App needs update so functions work on mobile device
2025-01-31,-,Monday.com is an amazing app. It allows me to keep up in real time. Add pictures. Stay on task- following up with employees in an addition at allow upper management to login and see the progress.Thank You!
2025-01-30,-,"Seemed promising with a lot of great features but they won’t fix basic issues like not being able to add or change a column to a board, and not having the proper board owner permissions, making it basically useless. Support hasn’t answered any questions or help tickets about it."
2025-01-28,-,Can’t work on my page due to mandatory screen recording requirements. Poorly executed for such an expensive platform. When I pay this kind of money I want unlimited access. Very unfortunate.
2025-01-24,-,I have tried many project management softwares for personal use and work. I find many of them to be overly complicated and some to be too simple without enough capabilities / integrations. Monday really allows for a simple format that still includes all the bells and whistles.
2025-01-23,-,As an admin I need to be able to access the same features that are in the website. Currently it tells me that a certain feature is not supported and to use my browser. Then I use my browser on my phone and it tells me to download the app. Pointless.
2025-01-21,-,"I use monday on a full desktop browser, and everything works fine, but the iPad app can’t even open a single kanban card. Amazingly nonfunctional."
2025-01-19,-,It’s free ??
2025-01-10,-,It has worked well for tracking deals on land sites that we are working on buying for clients.
2025-01-10,-,"Monday allows our team to keep up with projects, proposals, deadlines and who is doing what! An excellent business tool."
2024-12-29,-,"This program great, but I have spent monies cuz, your database won’t let me delete users."
2024-12-27,-,"The app on iOS doesn't refresh after updates to items. I have to force close the app and reopen to see my changes in ""My Work"" view."
