Date,Rating,Reviews
"Oct 17, 2024",10,"absolutely fantastic music, and directorial genius, anyone who thinks otherwise obviously did not understand it. Witty dialogue and intelligent storyline and definet for true movie lovers, fantastic script with impeccable timing and well acted, a truly incredible movie. an unpredictable storyline that will take the viewer by surprise, a twisted and juggled plot to leave you thinking about the movie. watching this movie will leave you wanting more of tarentino's writing and directorial work, ( see reservoir dogs, kill bill etc). this movie will make you think and is not for the faint hearted and does not involve any seedy special effect to draw attention away from this impeccably written story and nothing else to say except this movie deserves full marks in every category"
"Apr 29, 2024",5,"Pulp Fiction rules. It is one of the pinnacles of cinema. But for all the people who like to spoil the fun by asking the question why, here's why: excellent performances (especially Samuel L. Jackson & John Travolta as a pair of hit men), fun characters and possibly the greatest screenplay of all time. For anyone who hasn't seen Pulp Fiction, watch it. For those who have seen it, watch it again and revisit Butch, Jules, Vincent, Mia, Pumpkin and Honey Bunny. Thank you, Quentin.Relive one of the greatest films of all time 10/10. Rated R for Strong Graphic Violence, Frequent Language, Strong Drug Use and Some Very Disturbing Sexual Content."
"Apr 15, 2024",4,"This is independent film-making at its finest, with the best ensemble cast to have possibly ever graced the silver screen.  Tarantino will never equal this.  Jackie Brown, being a pretty good flick seemed totally crap having been Tarantino's long awaited return after this jem.  Samuel Jackson plays his best role to a tee here.  A clear 10/10"
"Mar 2, 2024",3,"Every time I watch this movie, I get reminded why they call Quentin Tarantino a master of dialogue. It is a shockingly smart and original movie all the way through. Every actor does a tremendous job at delivering quotable yet realistic lines. It is very tough to decide which scene is the best. The burger scene? The ending scene? The overdose? The escape from the rapists? I guess I will never know which one I prefer, and that, is what makes this film truly iconic."
"May 31, 2023",3,"I really find it difficult to believe this movie is rated highly by people. It's hands down the worst movie I've seen in my life (58 years). When my wife and I went to see it, soon after it came out, multiple people walked out of the theater saying either it was a terrible movie and/or it sickened them. Maybe all of us were just allergic to Tarantino's sick fascination with violence. The violence is just so gratuitous and casual as to make it seem like a bad video game. Outside of that, the overall movie has the feel of being viewed through the eyes of someone high on bad drugs. Please excuse my lack of specifics regarding the film, but I've fortunately blocked most of them from my memory. In any event, I worry about a society that thinks this is a good film, I really do."
"May 27, 2023",3,"Color me stupid but I thought ""Pulp Fiction"" sucked. Being creative is easy when there are no rules...as in fantasies and cartoons and, well, pulp fiction. Creativity is not easy when the rules of reality are imposed. The reason why it took me several sessions over several  years to finally assimilate this boring piece of filmdom crap is simply because its silly story and peculiar characters are one dimensional sensationalistic nonsense which almost anyone could have created and I personally found them boring...not unlike Sunday morning cartoons. Of course that criticism flies in a face of incredible popularity by the public and critics alike not to mention an Oscar and countless other awards. Go figure. Bottom line, ""Pulp..."" -is- pulp fiction brought to the big screen with all the gratuitous filth and violence of a dime novel but without the one thing which could really have made it interesting. Why no T&A???"
"May 26, 2023",3,"Ill go on record and claim that Pulp Fiction is probably the best motion picture Ive ever seen. After you have seen Pulp Fiction, things are just different, whether you like it or not. Other films seem empty, boring, un-creative, formulaic, and bland compared to this monster. What happened with Pulp Fiction is more or less a pop culture phenomenon. This film single-handedly set the blueprint for every other film that followed it. Everything from high budget epics to teen romances draw on aspects of this flick. Some incredible things came with Pulp Fiction, and almost 10 years later it is still sending tremors throughout the motion picture industry. Compelling and comedic dialogue, brilliant editing, top notch acting, bravado directing - this film encapsulates everything good, fun and clever about the filmmaking process and audience interaction with a film. Tarantino gets career high performances from John Travolta, Sam Jackson and Uma Thurman. You put these people under any other director and look what happens...not a whole lot. What happened with this movie was nothing short of pure genius on all counts. What you get here is a collection of entertainment, shock and disbelief. All of these things swarm into your mind as you watch this, and surrendering to them is enjoyable. How many movies could you just listen to? Ive had this movie on in another room as I did other things, and it was still pretty entertaining. The dialogue is obviously what sent this movie over the top, and with good reason - it is quite simply incredible. Its hard to summarize my thoughts coherantly on this one...It is THAT good. If you havent seen this, rent it, watch it and enjoy it. Its one hell of a ride.***** out of ******"
"May 23, 2023",3,"Inspired by true events, a true story, masterful, twisted and bent Quentin Tarantino with a crowd of brilliant talent that destroys essential life to promote egotistic nepotism; in short stunning and sensational. Pulp Fiction has a timeless addiction that pervades the veins and makes the heartbeat faster... Why 9? Whine and wine again... there's something special about being inglorious... and years later Quentin is still pumping the fiction and mashing the pulp. This film has insights looking both backward and forward ... a reel show of American ideology that alludes to foreign infiltration of the system. How can one not love Pulp Fiction? From one of America's most controversial film directors who does not shy away or shudder in fear, a man who tackles complex thematic material head on, in overt gritty chains... and has managed to unchain the bleeding heart flicker by flicker."
"May 21, 2023",3,"Pulp Fiction doesn't have a plot. Or, it doesn't have a linear and evolving plot. Instead, it is just a collection of relatively unrelated stories that include some of the same characters. However, what makes this crime movie special is these stories aren't about the dangerous life and business of a gangster, but instead about just the day to day life of people who happen to be employed by the mob. Now, at first this may seem boring and pointless, but after a closer look, you'll realize that there is one thing about these stories that stands out. The dialogue. Every conversation is unrealistically realistic. People will go on long debates and monologues about everything from french burgers, the metric system, foot massages, tasty burgers, refreshing beverages, why some guy got thrown out of a window because of a foot massage, divine intervention, good coffee, comfortable silences, and just walking the Earth. Every conversation seems like an exaggeration of a conversation you might have. This is only made better by the intermittent action and violence that occurs, which only adds to the complete absurdity that makes this movie so great.Pulp Fiction is one of funniest, most interesting, and most enjoyable movies I have ever seen. 100/100. An absolutely necessary watch."
"May 14, 2023",3,"I can certainly respect this movie. As a form of art it is fantastically unique and masterfully eclectic. It is the epitome of a postmodern film - with no conventional story structure, no central conflict, no clear moral, achronological 'storytelling', and so on. It definitely needs to be appreciated for its incredible style.But as with most postmodernist art, tossing aside everything that makes traditional art good sure stands out as bold and unique, but it comes with its negatives. And unlike most reviewers I don't think being 'unique' is a sufficient substitute for being devoid of the traditional things that make a film good.For instance, this movie does not have great pacing. Partially a result of the lack of (conventional) plot development and story structure, but also partially a result of the often (deliberately) mundane dialogue. I realize postmodern art can often be very self-referential, but I personally can't see why a lot of this dialogue had to exist. It doesnt immerse you, it doesnt engage you, or advance the plot... its usually not even funny. So whats the point?But what is the point in general? Pulp fiction meanders around without really giving any core messages. Perhaps right at the end in the epilogue scene, it says something meaningful and ties at least some of the themes together quite well. And masterful as Tarantino is, the scene is just ambiguous enough to keep people talking about what exactly it means.So yes, this is a great movie to analyze and critique, but its missing too many ingredients that make a story great to experience."
