Content,Tag
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Back To The Future Trilogy
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Nostalgia
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Comedy Elements
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Visual Effects
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Soundtrack Quality
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Cinematic Techniques
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Character Development
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Character Relationships
"I love Back to the Future. While having a typical 80s feel to it, which I like, I love how fun, irresistible and original the film is. The special effects are dazzling and the comedy is suitably sly and sophisticated. Helping along the way is a script that is pretty ingenious, the sort of script that has quotable lines and also pokes fun at 1950s icons and lifestyles during the frequent bouts of time travelling. The score by Alan Silvestri elevates the sense of fun to a greater level, the main theme is one of the most memorable themes ever in the history of film, or so I think anyway. Robert Zemekis's direction is very good, and the cinematography, scenery and costumes are also excellent. And I have to mention the acting, Michael J Fox is really appealing in the role of Marty McFly, the role that propelled him to stardom, and Christopher Lloyd is brilliant in one of his most memorable roles(and yes this includes Judge Doom from Who Framed Roger Rabbit? and Professor Plum from Clue). Lea Thompson and Crispin Glover are also great. Overall, brilliant film that is good in so many ways. 10/10 Bethany Cox",Audience Reception
"As a child, I used to watch this movie religiously. I loved the chemistry between Doc Brown and Marty McFly, I loved the all too familiar soundtrack and the ridiculous way in which George McFly laughs. This movie has become such a nostalgic and feel-good film for me. I had the good fortunate to see all three 'Back to the Future' movies in cinema last year and it was such an experience to watch this timeless classic with people who enjoy this film as much as I do. Everyone has to see this film at least once in their life! Such an amazing, funny Sci-Fi from the 1980's. I just can't get enough of this movie - it will just never get old. Cannot recommend it enough!",Nostalgia
