"Content","Date","Consumer Sentiment Classifier","Automatic Classifier"
"J'ai récemment acheté une voiture d'occasion et je suis très satisfaite de mon expérience. Il est très facile de joindre un agent avant l'achat et après l'achat du véhicule pour poser nos questions. J'avais été appelée quelques jours avant la date prévue pour la livraison car ils avaient eu un léger retard dans leur processus pour me demander si je pouvais reporter de quelques jours de livraison afin de pouvoir faire le nettoyage du véhicule, ne pouvant pas décaler, ils ont fait un geste commercial de 60€ pour compenser le ménage qui n'avait pas été fait ! Je remercie Romain pour sa réponse rapide lors de ma réclamation! En tout cas je recommande autohero car je suis vraiment satisfaite de mon achat.","2024-02-20T17:16:50.0000000Z","Positive","Satisfaction with Purchase"
"Malgré que sa soit un achat en ligne j ai été agréablement  surprise de cet achat. Voiture conforme à la description. Les commerciaux sont très disponibles et à l ecoute de nos besoins. Les démarches sont très simples et claires et très rapides.  Le prix de livraison est très raisonnable. Le livreur est à l écoute et sympathique. Points positifs c est qu il s occupe de la carte grise et que j ai payé à la livraison en chèque de banque. La livraison a été rapide Livrée avec un  Quit de secours et crevaison dans la voiture ainsi qu un sac autohero avec triangle de signalisation accident et gilet fluo.. qualité de service irréprochable. A conseiller  depuis la livraison je n' ai eu aucun soucis avec ma voiture. Je partage mon expérience avec tte satisfaction. Merci","2024-02-18T19:38:48.0000000Z","Positive","Online Buying Experience"
"Autohero m'a livré une citroên c3 le 18 janvier 2024: révisée, dans un état impeccable. La clé (télécommande) étant HS, j'ai commandé après accord de Autohero une télécommande neuve chez Citroên. Elle fut immédiatement remboursée par le SAV. Je remercie le service après vente et en particulier le professionnalisme de Monsieur Romain qui a traité ma demande de réclamation avec efficience et dextérité. Je recommande Autohero, une société sérieuse et honnête.","2024-02-19T18:59:20.0000000Z","Positive","After-Sales Service"
"J'ai acheté ma voiture début février 2024 et je ne regrette absolument pas.Le tarif n'est pas plus élevé qu'ailleurs, présentation des imperfections du véhicule sur le site, possibilité d'avoir l'historique de l'entretien et du nombre de propriétaires du véhicule désiré. Le paiement par virement s'est déroulé sans problème. La livraison du véhicule s'est fait comme à la télé dans un camion vitré. On a fait le tour du véhicule et signé quelques papiers et la voiture était à moi. Bref pour le moment je suis satisfait.","2024-02-15T19:57:03.0000000Z","Positive","Purchase Process"
"Bonjour,J'ai acheté ma voiture au mois d'avril 2023 et je suis très satisfait.Je recommande vivement Autohero pour l'achat d'un véhicule d'occasion, ayez confiance à leurs conseillers service après vente. Je remercie toute l'équipe de leur professionnalisme en particulier Mr Jean qui a traité ma demande de réclamation avec rapidité et efficacité. Merci à vous de m'avoir apporté une réponse positive à celle-ci. Je suis très satisfait de la qualité de votre travail. Bonne continuation et bon courage.Cordialement.","2024-02-15T23:00:09.0000000Z","Positive","Satisfaction with Purchase"
"La sélection de la voiture et l'achat ont été extrêmement simples. Le rapport qualité/prix est imbattable. Le service est top ! :  livrée à domicile, gestion des papiers faite pour moi, tout confort 😉La voiture est impeccable,  totalement conforme à la description. Je recommande et repasserai par Autohero pour un prochain achat !","2024-02-14T19:40:47.0000000Z","Positive","Satisfaction with Purchase"
"Premier achat en ligne d’une voiture sans l’avoir vu réellement juste avec les nombreuses photos sur le site, y compris celles avec les imperfections détaillées avec zoom et plan large du véhicule. Donc pas de surprise une fois face au véhicule ce qui est d’une grande aide pour l’achat d’une voiture. Merci pour le professionnalisme de Romain sur le site de Longueil Sainte Marie (60) pour récupérer le véhicule et merci à Eva pour le suivi avant, pendant et après l’achat. Tout est clair et si vous avez besoin d’informations supplémentaires, il y’a toujours un contact pour y répondre. Je recommande Autohero.","2024-02-14T18:19:17.0000000Z","Positive","Online Buying Experience"
"Gros problème voilà 1 mois que l'on virement de 13000 euros  est fait ..et aucun véhicule en vue ...la première livraison été prévue le 7 février ..et maintenant repoussé soit disant le 17 en vue d un devis à effectuer sur le véhicule sachant qu a la base le véhicule nous a été vendu en bon état ... maintenant on m annonce le 24 février sachant que cela reste du prévisionnel ..aucun responsable est capable de me répondre au téléphone","2024-02-14T21:25:41.0000000Z","Negative","None"
"Première achat d une voiture en ligne c' est fou !! Et finalement tout c'est bien passé il y a des conseillers qui te contacte à chaque étape réservation paiement livraison etc... de plus nous avons fait reprendre notre voiture avec une offre de reprise fidèle à celle faite par autohero .Merci à Didier le livreur de la nouvelle voiture dans un fourgon vitré !!! Il a pris le temps de nous expliquer le processus livraison reprise. Aujourd'hui nous avons fait 1000 km avec la voiture et tous vas bien 👍 Merci autohero","2024-02-14T22:29:57.0000000Z","Positive","Online Buying Experience"
"Une expérience différente pour l'achat de ma voiture.Les informations des véhicules sont très détaillées et les rapports techniques sont rassurants. Les 21 jours d'essais après la livraison compensent bien ne pouvoir pas tester avant l'achat.J'aurai bien aimé de prendre l'assurance avec leur partenaire, mais pas assez d'effort pour m'aider dans mon cas très particulier.","2024-02-14T16:37:29.0000000Z","Positive","Online Buying Experience"
"1ère fois que j'achète une voiture en ligne et grâce à autohero ce fût une superbe expérience.Grand choix de véhicules pour tous les budgets. Un conseiller unique qui suit votre dossier du début à la fin, sans harceler ni forcé. Disponible pour répondre à toutes vos questions.Plusieures possibilités de financement.Une livraison à domicile avec Adel qui était vraiment au top malgré une météo plus que pourri (froid, pluie.. ).Un suivi après vente nickel.Si j'ai une prochaine voiture à acheter je la prendrai chez eux sans hésiter, ils sont sérieux, fiable et très commençant. Je recommande les yeux fermés","2024-02-13T13:23:49.0000000Z","Positive","Online Buying Experience"
"1er achat en ligne d'un véhicule. L'expérience est concluante, processus très clair et facile de la réservation à la livraison. Professionnalisme de la part de tous les intervenants. La livraison à domicile est vraiment très pratique et la personne en charge de la livraison est vraiment au top. Pour ma part je recommande.","2024-02-14T15:46:02.0000000Z","Positive","Online Buying Experience"
"Au début très sceptique d’un achat 100% en ligne sans voir le véhicule mais avec le nombres d’avis positifs je me suis laissé tenter. Pas déçu du tout, très bon suivi commercial et le site est bien fait car toutes les imperfections du véhicule y sont répertoriées.La livraison RAS, dans le créneau indiqué et le livreur très gentil. 1h sur place le temps de boucler les papiers et la voiture était officiellement à moi.Le seul bémol que je peux relever est le nettoyage du véhicule qui, pour moi, est un peu léger.Pour le reste, très bonne expérience.","2024-02-14T15:44:06.0000000Z","Positive","Online Buying Experience"
"je viens de faire l'acquisition d'une BMW X4livré le 14 février 2024 , le 15 février 2024 j'ai déjà un message d'erreur  d'huile en dessous du mini et de faire l'appoint immédiatement ? d'après leur site il ne livre que des véhicule contrôlé  minutieusement , je m'interroge.apres  action d autohero le professionnalisme est la.","2024-02-17T16:23:44.0000000Z","Negative","Vehicle Quality"
"Je tenais à remercier l’équipe d’autohero pour m’avoir conseillé et accompagné tout au long de mon projet. Le commercial brandon m’a accompagnée avec patience et professionnalisme,sa disponibilité et ses réponses m’ont rassurée à plusieurs reprises.Pour la livraison c’est aussi un 10/10 , Laurent le livreur aussi très professionnel et très agréable et de très bon conseils. Je referai appel à eux pour mon prochain véhicule . Merci et à bientôt. ( véhicule acheter chez eux une DS3 marron mat )","2024-02-08T18:33:24.0000000Z","Positive","Professionalism"
"De la recherche du véhicule jusqu'à la livraison il y a eu une très bonne communication avec autohero. Très facilement joignable et très flexible pour ce qui est de la livraison j'ai pu leurs demander de s'adapter à mon emploidu temps. Aucun risque, aucun doute à avoir, très bonne fiabilité.","2024-02-10T17:49:59.0000000Z","Positive","Delivery Experience"
"Rien à dire sur les échanges toujours très courtois et professionnels avec le service après-vente qui s'efforce de régler au mieux les problèmes. Par contre, il serait nécessaire de mieux réviser les véhicules avant livraison. Le mien ma été livré avec des défauts importants, heureusement réglés par le service après-vente que je félicite encore.","2024-02-08T19:39:45.0000000Z","Positive","After-Sales Service"
"Accueil des plus professionnel de la part du livreur Michel. La voiture était en excellent état mais des traces de boues laissaient à désirer sur de nombreuses parties du véhicule. J'attends de vérifier le bon état du véhicule avant de me prononcer trop rapidement mais pour l'instant j'en suis très satisfait de ma Hyundai I20. Si la condition du véhicule venait à se dégrader, il va de soi que mon commentaire changerait lui aussi. Pour l'instant, je recommande donc.","2024-02-05T20:30:25.0000000Z","Positive","Delivery Experience"
"C'est la première fois que j'achète une voiture sans l'avoir vue. J'avais une petite appréhension, mais lorsque je suis allée la chercher, je l'ai trouvée en parfait état, encore mieux que je n'espérais. Je félicite mes interlocuteurs aussi bien par téléphone qu'à la réception de mon véhicule. La prochaine fois, je ferai appel à AUTOHERO pour un autre achat. J'ai acheté ma voiture en octobre dernier et j'ai attendu quelques mois pour faire part de mon expérience.","2024-01-29T22:03:51.0000000Z","Positive","Satisfaction with Purchase"
"C'est la première fois que j'achète une voiture sans l'avoir vu et à distance. J'avais une appréhension, mais lorsque je suis aller la chercher au dépot dans l'Oise , je l'ai trouvé en parfait état extérieur comme les photos de l'annonce et très propre, malheureusement l'intérieur n'était pas du même niveau en therme de nettoyage mais pas catastrophique non plus.Double de clé et documents remis avec la voiture.Je félicite mes interlocuteurs aussi bien par téléphone qu'à la réception de mon véhicule. J'ai acheté ma voiture début janvier et j'ai attendu un mois pour faire part de mon expérience afin de m'assurer de l'état. Plaquettes de frein arrière bruyantes et presque en fin de vie, remplacement pris en charge par Autohero après appel et vérification de celle-ci à mon garage.Carte grise reçu après les 21 jours.Je ferais appel certainement à AUTOHERO pour un autre achat si ils ont le véhicule que je recherche.","2024-02-05T13:05:54.0000000Z","Positive","Vehicle Condition"
"Très satisfait de mon expérience avec AutoHero, la voiture correspond à mes attentes et semble être en très bon état mis à part un souci avec le start & stop qui ne fonctionne pas, je l’ai mentionné dans mon espace client et je suis dans l’attente d’une réponse de leur part. D’où mon étoile manquante.","2024-02-04T22:21:36.0000000Z","Positive","After-Sales Service"
"un peu déçu , je n'ai même pas encore reçu ma voiture qu'arrivé au park de stockage de ma ville on m'annonce que 2 voyants moteurs ce sont allumés, alors que une ""révision complète et minutieuse"" avait était effectué juste avant , 4-5j plus tard toujours aucune nouvelle de ma voiture , si il y a eu un diagnostic, si il y a des pièces à changer?..On me dit que les ateliers sont être relancés pour que je puisse avoir des nouvelles , mais cependant rien , je me retrouve sans voiture alors que j'en avais besoin pour la date initiale prévue , qui était ce 9 fevrier.","2024-02-10T19:41:54.0000000Z","Negative","After-Sales Service"
"Première fois sur autohero.Parcours de recherche puis d’achat tapie et clairement expliqué. Le véhicule était conforme en tout point à ce qui était indiqué sur le site. Un « défaut » découvert sur place a été rapidement ajouté. Très satisfait de mon achat et de mon expérience.Je recommande","2024-01-31T17:53:22.0000000Z","Positive","Satisfaction with Purchase"
"Pas sérieux du tout !!!!On m'a livré la voiture sans une goutte d'huile, j'ai fais 5km avec le véhicule et je suis tombée en panne, alors que la révision et vidange avait soi disant été faite. Aucun mail, zéro appel pour faire suivre la réparation.J'ai envoyé des devis, puis une facture, et le service après-vente, M. Gael, me dit qu'il ne sera pas possible de les payer avant 10 jours, ce qui signifie que je n'aurai pas les 21 voitures que je dois essayer mon véhicule..... Vraiment pas satisfaite !!!! Je ne recommanderai à personne d'acheter une voiture auprès de cette société, qui n'est pas très sérieuse avec ses clients.FERNANDES Rute","2024-02-06T14:40:49.0000000Z","Negative","After-Sales Service"
"Super accueil se toute l'équipe toujours été la pour répondre à mes questions car c'était la première fois que je faisait l'achat d'un véhicule sur internet est on toujours un peu peur mais là franchement bravo l'équipe de autohero je vous félicite et je dit à tout le monde faite votre achat avec eux ces du sérieux","2024-02-14T16:15:06.0000000Z","Positive","Satisfaction with Purchase"
"Le prix de reprise du véhicule annoncé sur le site avant achat d'un nouveau véhicule, n'est en rien définitif. Et ce malgré la mention ""Prix ​​valable jusqu'au :"".Mon véhicule était estimé à 7398€, suivie de la fameuse mention ""valable jusqu'au"".Je passe commande d'un nouveau véhicule plus de dix jours avant expiration de l'offre en question. Je remplis le formulaire. Il m'est indiqué la somme que j'aurai à verser à la réception de ma nouvelle auto (son prix minoré du montant de la reprise de mon ancien véhicule).Le lendemain, je retourne sur le même formulaire validé la veille : le prix de la reprise a diminué de 2000€. Et par conséquent, la sommes que j'ai à verser a augmenté du même montant.Il apparait normal que l'estimation de mon véhicule fluctue en fonction de l'offre et de la demande, en revanche l'affichage du prix (ici clairement présenté comme définitif), et la possibilité de le déduire du montant à régler pour un nouveau véhicule ne devrait être possible qu'après validation par un experts autohero.Par conséquent, votre estimation (qui plus est accompagnée d'une date de validité qui ne sert en fait à rien) ne repose sur rien de concret ni de sérieux puisque basée uniquement sur un barème à priori plus vraiment à jour.Réelle déception car le concept semblait bien fichu, et les avis en ligne semblaient plutôt bons.","2024-02-12T17:04:03.0000000Z","Negative","Pricing"
"Entièrement satisfaite d ´Autohero. C’est la 2ème fois que je fais appel à eux. Le service est de qualité du début lors de mise à disposition du véhicule (merci Laurent :) ) et niquel le service après vente (merci Gaël). Rapidité et efficacité. De plus, moi qui ne m’y connaît en rien au voiture à la mécanique etc… la garantie 12 mois ma poussée à venir acheter une voiture chez eux. Je n’hésiterai pas à vous recommander. Merci beaucoup pour votre bienveillance ainsi que votre disponibilité.","2024-01-23T10:20:37.0000000Z","Positive","Satisfaction with Purchase"
"Entièrement satisfaite d'Autohero. Le prix était très raisonnable. La procédure est rapide et efficace. La voiture est en tous point conforme aux descriptions fournies sur le site. Je suis tellement content après un mois d'utilisation. Un grand merci à l'équipe d'Autohero. Je recommande vivement.","2024-01-25T23:36:31.0000000Z","Positive","Satisfaction with Purchase"
"Formidable expérience grâce à des interlocuteurs très professionnels et à l écoute. Tous bienveillants et gentils: du commercial James, Jérémy du service livraison, Jérôme mon livreur et Télma du service client. Et en plus je suis très satisfaite de ma nouvelle voiture. Je recommande autohéro!!!","2024-01-28T10:55:26.0000000Z","Positive","Professionalism"
"Au top !!Étant jeune permis, les modèles m’ont plus sur le site, très facile à commander en ligne, les équipes du service commercial ont été à l’écoute et ont répondu à toutes mes questions. La livraison du véhicule s’est très bien passée également, Maria a été au top !! Je recommande complètement.","2024-01-29T11:51:47.0000000Z","Positive","Online Buying Experience"
"Première expérience chez Autohero pour également une première voiture. Tout s'est très bien déroulé, la livraison a été plus rapide que prévue (voiture reçue le 9 Janvier avec une date prévue entre le 12-18).Le contact avec eux, que ce soit les conseillers téléphoniques ou le livreur a été très clair, concis et professionnel. La livraison a attiré des regards amusés avec le camion vitrine et c'était une belle expérience. La voiture est conforme au descriptif et aux photos.Seul bémol : lorsque vous souhaitez ajouter un co-emprunteur lors de la demande de financement sur leur site, ça ne fonctionnera pas. Il faut faire une demande avec l'emprunteur principal uniquement et les contacter par téléphone, ils vous enverront un mail pour ajouter les infos et pièces demandées pour le co-emprunteur. Il semble, de leurs dires, que ce soit un problème très récurrent avec leur site qui gère très mal ce genre de ""double"" demande.Mis à part cette galère de co-emprunteur, le reste s'est déroulé sans accrocs et je recommande chaudement cette entreprise pour leur sérieux et professionnalisme.","2024-02-01T20:28:23.0000000Z","Positive","Professionalism"
"Bonjour, Facilité de recherche et comparatif des véhicules. Accompagnement et suivi à l'achat d'une grande accessibilité. Livraison du véhicule extrêmement professionnel : la livreuse à bravé les intempéries de neige et n'à pas bâclé son travail en prenant le temps des papiers, de la visite du véhicule et des explications de son fonctionnement. Un grand bravo et merci à elle. Cdt.","2024-02-01T12:56:29.0000000Z","Positive","Delivery Experience"
"Bonjour,notre achat s'est déroulé parfaitement bien depuis la visite conviviale du site internet jusqu'à la livraison.Le véhicule est en tous points conforme aux descriptions fournies ( notamment les défauts) tout était bien répertorié. A ce jour 2 mois après la réception  nous n'avons rien a redire. Un seul point, nous n'avons pas encore reçu la carte grise définitive (nous avons pris l'option de confier ces démarches à autohero mais les délais ne sont peut-être que ceux de l'administration....nous recommanderons bien volontiers cet établissement","2024-01-15T19:15:20.0000000Z","Positive","N/A"
"Délai de livraison rapide, livreur (Ihssan) avenant et professionnel, voiture parfaitement propre. Plusieurs petits cadeaux qui font plaisir (porte-clefs,tapis,kit sécurité…). Quelques petits ajustements nécessaires (fixations, parallélisme et pneus avant) mais traités et pris en charge par autohero. Merci à Gaël pour le suivi et le traitement de ces points. Nous sommes donc très satisfaits de notre expérience avec autohero.","2024-01-19T19:17:08.0000000Z","Positive","Delivery Experience"
"J'ai acheté une voiture en décembre chez eux, livré début janvier. Tout s'est très bien déroulé. Service client disponible, service vente tout autant dispo. De nombreux mails nous informe de l'avancée de notre livraison. Voiture tel que décrit, et le nettoyage était impeccableJe suis ravie d'avoir pris ma voiture chez eux. Je recommande fortement!","2024-01-16T11:49:29.0000000Z","Positive","Satisfaction with Purchase"
"J'ai acheté une voiture en décembre chez eux, livré début janvier, en moins de deux semaines tout était réglé. Voiture commandée, confirmation date de livraison et malgré mes changements de date tout a pu être fait…Tout s'est très bien déroulé. Service client disponible, service vente tout autant disponible, à l’écoute, une équipe vraiment au top!De nombreux mails nous informe de l'avancée de notre livraison.Voiture tel que décrit, et le nettoyage était impeccableJe suis ravie d'avoir pris ma voiture chez eux. Je recommande fortement!","2024-01-17T12:42:10.0000000Z","Positive","Satisfaction with Purchase"
"Livraison exeptionelle avec un livreur professionnel et attentionné.Le livreur m'a attendu 1 h car j'étais sorti. je recommande autohero pour l'achat de tout véhicule car ils m'ont livré un véhicule nickel Propre conforme et sans aucun problème mécanique et en plus j'ai 20 jour pour tester le véhicule. juste les tapis de sol sont manquants mais vu la qualité de leur service je pense qu'on va trouver une solution à ça.","2024-01-16T12:34:51.0000000Z","Positive","Delivery Experience"
"Suite à l’achat de mon véhicule en février 2023. J'ai eu quelques petits soucis avec le poste radio. Malgré de nombreux problèmes entre Peugeot et Autohero pour la gestion de mon dossier, je suis très contente d'avoir eu Gaël comme conseiller. C'est une personne très compréhensible et professionnelle.","2024-01-22T14:57:27.0000000Z","Positive","After-Sales Service"
"La prise en charge de ma commande a été parfaite. Le service après vente est d'une performance rare. Merci à GAEL d'avoir été aussi professionnel dans la prise en charge de mon dossier. Il a été à l'écoute, a répondu à mes questions rapidement et tout s'est déroulé parfaitement. Merci beaucoup","2024-01-23T10:16:48.0000000Z","Positive","Customer Service"
"Je pense que si je devais racheter une voiture, je le ferais avec cette société, livraison dans les temps, livreur très pro. Même si quelques détails me chiffonnent,  tel que pas de notice fournit pour les accessoires et leur fonctionnement du véhicule, pas de liquide lave glace alors que la société me donne une feuille me disant que les niveaux sont réalisés. Malgré tout je recommande cette société.Janvier 2024 complément à mon précédent avis.Il s'avère que le liquide lave glace manquant était du à une fuite sur la pompe de lave glace, le sav m'apprend qu'il ne prend pas en charge la réparation. Pourtant le problème était bien présent avant mon achat. Je reviens donc sur mes écrits, je ne suis pas certain de recommander cette société et baisse donc le nombre d'étoiles.Epilogue (du moins le l'espère): la société Autohéro, que je remercie, m'informe qu'il prenne en charge la réparation. Je remonte ma note.","2024-01-30T12:21:12.0000000Z","Positive","After-Sales Service"
"Auto Hero m’a permis de renouer avec l’occasion ! La transparence des annonces, du processus d’achat ou de livraison sont un atout majeure d’auto hero. Pour ma part j’ai grandement apprécié recevoir ma voiture en camion vitrine chez moi dans le sud de la France alors qu’elle était à Paris pour un prix on ne peut plus raisonnable. Le chauffeur a était particulièrement bienveillant, professionnel, à l’écoute et d’une gentillesse des plus agréable ! La livraison c’est réalisé sans pression et avec plaisir. La voiture était encore plus belle que sur l’annonce. Les défauts mentionnés étaient bien plus mineur qu’ils ne paraissaient sur les photos de l’annonce. C’est donc tres agréable de découvrir sa nouvelle voiture encore plus propre que sur l’annonce ! Cela a contribué à la satisfaction générale. Merci Auto Hero pour cette jolie petite voiture et pour le sérieux dont vous avez fait preuve et surtout merci de nous permettre d’acheter d’occasion et cela…en toute confiance et sans mauvaise surprise ! Ça fait du bien 👍 😁🚘","2024-01-26T20:12:10.0000000Z","Positive","Delivery Experience"
"J’ai acheté une Peugeot 5008 sur le site Autohero. Le prix était très raisonnable, le site bien fait et les photos honnêtes sur les qualités et les défauts de la voiture. La livraison s’est très bien passée avec des délais raisonnables et respectés.Seul bémol : le nettoyage intérieur était loin d’être nickel. C’est dommage vu le prix que prend le site pour la « préparation » du véhicule. Après une semaine d’utilisation, je suis satisfait de mon achat et le service client est présent pour prendre des nouvelles. Je recommande vivement.","2024-01-25T15:29:53.0000000Z","Positive","Satisfaction with Purchase"
"Super entreprise j ai été agréablement  supris par le super accueil  et le  super suivi de A à Z  aussi bien par mail SMS et téléphone tout l équipe autohero des super pro m'a voiture est arrivé conforme propre comme neuve et depuis le 18 janvier 2024 je roule tous les jours 000 problèmes merci à l équipe autohero","2024-02-09T21:12:06.0000000Z","Positive","Satisfaction with Purchase"
