Content;Url;Date;Consumer Sentiment Classifier;Automatic Classifier
"""Brickhead"" Bruno's tag was exactly as ordered, and came much sooner than I expected.  I'm totally happy with my order - and with the luminous rubber ring around it, it doesn't drive any of us crazy with all the jingle-y noise from his old tags.";https://www.trustpilot.com/reviews/625451a42b3c3c43cfcf8c54;2022-04-11T16:04:52.0000000Z;Positive;N/A
* Terrific Quality…* Fair Pricing…* Super People to work with…* Great Service…I had a very special request & they were wonderful and understanding.  I received the tags I needed quickly and they are PERFECT.Thank You….;https://www.trustpilot.com/reviews/61cb67439f60695a25031199;2021-12-28T19:36:35.0000000Z;Positive;Customer Service
5 stars‼️  The tag I ordered is of good quality, cute and looks great on Buckley’s collar. I look forward to ordering more tags. Thanks;https://www.trustpilot.com/reviews/623b0b61d9248a7b46c813d3;2022-03-23T11:58:25.0000000Z;Positive;Tag Design and Artwork
A beautiful, colorful selection of art that will match you or your pet. Easy to customize with pertinent info. Easy shopping experience. Fast delivery. What's not to love?;https://www.trustpilot.com/reviews/63e1b25b9b64b1bdaf4f1f96;2023-02-07T04:07:23.0000000Z;Positive;Customization and Personalization
A quality product at a fair price. Quick turnaround and delivery as well. A company that cares about the pets that they support.   Thank You;https://www.trustpilot.com/reviews/633b1a0e4a5fff53cad56569;2022-10-03T19:21:18.0000000Z;Positive;Customer Service
Absolutely adorable. Everything imaginable. Sturdy & very well made long lasting tags. My fashion girl owns many!!! Ship fast!;https://www.trustpilot.com/reviews/62042a7a441cb9c247342501;2022-02-09T20:56:26.0000000Z;Positive;Quality and Durability
"Absolutely love our new tags! So far the quality is great.  We haven't quite put them to the test with our typical outdoor adventures that have destroyed other tags, but I'm fairly confident they will pass with flying colors. The added glow in the dark ring around them has been wonderful. Love that I can update both my pups information in the same place/account as well for that ""just in case"" situation.My only negative experience (and reason for 4 stars) was with any kind of customer service.  After receiving the purchase confirmation email, I never received another one.  I kept trying to check my order online through my account but it never showed any updates or tracking number and I emailed twice inquiring the status and never received any kind of response.  It just showed up in my mailbox one day, which I'm grateful for, but it would have been nice to have some kind of update and/or response to emails.All in all super stoked about our new tags!";https://www.trustpilot.com/reviews/651d9786149b5624ae3938ff;2023-10-04T18:49:10.0000000Z;Positive;Quality and Durability
Adorable choices, accurate personalization, fast shipping. What more could you ask for!;https://www.trustpilot.com/reviews/619bda8fbd63dda48261576a;2021-11-22T17:59:43.0000000Z;Positive;Customization and Personalization
After not receiving my order via USPS, I reached out to customer service and they were wonderful! I got a new set of tags shipped out to me immediately and they arrived within a couple of days. The tags look great, with bright colours and clear writing. I would buy from them again in a heartbeat! I loved all the designs but went with a superhero design!;https://www.trustpilot.com/reviews/6191568201034f34babf4523;2021-11-14T18:34:03.0000000Z;Positive;Customer Service
all perfect all time;https://www.trustpilot.com/reviews/61c4878b9f60695a25fe7d83;2021-12-23T14:28:27.0000000Z;Positive;None
