Content,Url,Date,,Consumer Sentiment Classifier,Automatic Classifier
This is a beautiful piece of jewelry.  So unique. I was able to send in pictures of the mountain design that meant something special to my husband and I. We are celebrating our 45th wedding anniversary and I wanted to replace my husband's very worn out wedding ring. Very prompt and individual service. Well done GLJ!,https://www.trustpilot.com/reviews/65ce5fbed02a14f123cad9ca,2024-02-15T21:02:22.0000000Z,,Positive,Unique and Beautiful Rings
"Ben and the team at Green lake Jewelry were AMAZING!!! My fiancée and I saw Green Lake advertised on Instagram and went in to browse and get ideas for rings. Walking in we were welcomed with such hospitality and patience. Ben walked us through the options, helped us ideate, dream up exactly what rings we both wanted, and then bring those dreams to life. We both ended up with the MOST beautiful, custom rings. We are so grateful for the whole team that helped make this possible. They are talented visionaries that are masters at their craft!!!",https://www.trustpilot.com/reviews/658496df9e7b7921c2c77820,2023-12-21T21:49:52.0000000Z,,Positive,Excellent Customer Service
"My designer Susie Swan was so detail oriented and creative, she really made my dream jewelry come to life. They are so professional and high-tech, you really do get a full experience when you go here. Plus they do beautiful work! My custom engagement ring came out so gorgeous and perfect I still cannot stop looking at it! Highly recommend.",https://www.trustpilot.com/reviews/65652e4b73a675b824bd40fa,2023-11-28T02:03:23.0000000Z,,Positive,Beautiful and Unique Ring Design
"We lost my wedding band after more than 30 years of marriage, and wanted to replace it. I passed by the Northgate store, and on a whim, stopped in to see the selection. We came in a few days later to pick out a new wedding band and met with Ellen to discuss an updated recreation of the original. Ellen worked with us throughout the process to create a more modern version of what we lost. We are quite pleased with the work Ellen and the staff did and their attention to our needs.",https://www.trustpilot.com/reviews/65558d9db1db20d9b97f13f7,2023-11-16T05:33:49.0000000Z,,Positive,Custom Design Process
"Beautiful custom ringsWe loved working with Brooke on my engagement and wedding rings. She's knowledgeable, funny, nice, and very good at her job. She took my vague ideas about what I wanted and translated them into rings that are totally unique and fit together beautifully. I loved every part of my experience.",https://www.trustpilot.com/reviews/651f68a60b682c3e7fd7c771,2023-10-06T03:53:42.0000000Z,,Positive,Beautiful and Unique Ring Design
"I worked with Chelsea K on an engagement ring for my partner and she was incredibly easy to work with. She was responsive, collaborative, and transparent the whole way through. The whole experience was completely seamless and they were spot on with their timeline estimate too! My partner also worked with Green Lake (coincidentally also with Chelsea) on my engagement ring and both of us have been thrilled with both quality and service!! Can’t recommend them enough!!",https://www.trustpilot.com/reviews/6521763ad76cd6048aae4c3c,2023-10-07T17:16:10.0000000Z,,Positive,Positive Experience Overall
"Ellen took such great care of us, guiding us through our wedding band buying process! We were very new to jewelry and Ellen took the time to explain all the different factors and details and make sure we walked away with two rings, one custom made by the greenlake team and one made by another company that greenlake partners with. It was such a pleasant experience. You always felt you could trust what was going on and that you had a professional on your side.",https://www.trustpilot.com/reviews/64bbf894c4234462868c75f7,2023-07-22T17:41:08.0000000Z,,Positive,Professional and Knowledgeable Staff
"Prior to coming to Green Lake Jewelry Works I had been wearing my custom-designed engagement/wedding ring for 19 years (made by another jeweler). That ring never really suited me. At Green Lake, I was able to work with Sophia on a couple of design options that would reuse my existing center stone into a new design. I picked Sophia because I saw several pieces in her portfolio that I liked. She created a design I love. Within 2.5 months I got a brand new ring which I adore.",https://www.trustpilot.com/reviews/6430aad9734f97e68f99e418,2023-04-08T01:44:26.0000000Z,,Positive,Custom Design Process
"Our experience with Green Lake jewelry has been a dream. As a couple who hasn't shopped much fine jewelry, we were pleasantly surprised at the level of design that was available at a reasonable price. The pieces we have designed (engagement ring + earrings) are beautiful. The process of designing with Chelsea was a pleasure. She answered all of our questions and had great insights and design ideas along the way.",https://www.trustpilot.com/reviews/63687018b84cc27618e41d4b,2022-11-07T04:40:24.0000000Z,,Positive,Positive Experience Overall
"The people at Greenlake Jewelers are excellent. They are professional, not pushy, and very knowledgeable. I enjoyed working with them and they made the process of picking out and designing custom jewelry to be much simpler than I would’ve thought. I would 100% work with them again and recommend them to others.And if I may give a shout out to Sophie, she is wonderful to work with. She helped walk me through the many decisions (and my indecision) as smooth as possible.",https://www.trustpilot.com/reviews/64caa0fd706f837cb116547e,2023-08-03T02:19:19.0000000Z,,Positive,Positive Experience Overall
"We contacted Green Lake Jewelry to make a custom engagement ring with stones from a few family heirlooms. At every step along the way Sophie was informative and patient, and gave us realistic expectations for the process. The finished product is jaw dropping and perfect! I learned a lot during the process, and never felt pressured or steered to make a decision—the ring is exactly what I wanted, each little detail is perfect.",https://www.trustpilot.com/reviews/647a5f10c4234462866f291f,2023-06-02T23:28:48.0000000Z,,Positive,Custom Design Process
"My fiancé and I were able to create 2 absolutely gorgeous and unique engagement rings here, with the guidance and artistic talents of Vinh. He walked us through all of our options and helped us bring each of our visions to life. I would highly recommend having any jewelry you love handled through this fantastic and talented staff!",https://www.trustpilot.com/reviews/64244d9db23781c842386977,2023-03-29T16:39:25.0000000Z,,Positive,Unique and Beautiful Rings
"Working with Green Lake Jewelry is a must!Everyone was great and the overall experience was unmatched. I can't image going anywhere else after working with them on a custom ring design. The finished product is beautiful, unique and exactly what I wanted no compromises when you are working to design just what you want.",https://www.trustpilot.com/reviews/646c1e79c42344628668145b,2023-05-23T04:01:29.0000000Z,,Positive,Positive Experience Overall
